caracteristica,Python,JavaScript,C++,Rust,Go,Java,Hololang
asignacion,1,1,1,1,0,0,1
assert,1,1,1,1,0,0,0
atributo,1,1,0,0,0,0,1
bucle_mientras,1,1,1,1,0,0,1
clase,1,1,1,1,0,0,1
condicional,1,1,1,1,0,0,1
continuar,1,1,1,1,0,0,1
decorador,1,1,0,0,0,0,1
del,1,1,1,1,0,0,0
diccionario,1,1,0,0,0,0,1
diccionario_comprehension,1,1,0,0,0,0,0
diccionario_tipo,1,1,1,0,0,0,0
elemento,0,1,0,0,0,0,0
enum,1,1,0,0,0,0,1
esperar,1,1,0,0,0,0,1
export,0,1,0,0,0,0,0
for,1,1,0,0,0,0,1
funcion,1,1,1,1,0,0,1
global,1,1,1,1,0,0,0
graficar,1,1,0,0,0,0,1
hilo,1,1,0,0,0,0,1
holobit,1,1,1,1,0,0,1
identificador,1,1,0,0,0,0,1
import,1,1,0,0,0,0,1
import_desde,1,1,1,1,0,0,0
imprimir,1,1,0,0,0,0,1
instancia,1,1,0,0,0,0,1
interface,1,1,1,1,0,0,0
lista,1,1,0,0,0,0,1
lista_comprehension,1,1,0,0,0,0,0
lista_tipo,1,1,1,0,0,0,0
llamada_funcion,1,1,1,1,0,0,1
llamada_metodo,1,1,0,0,0,0,1
metodo,1,1,1,1,0,0,1
no_local,1,1,1,1,0,0,1
nolocal,1,1,1,1,0,0,0
operacion_binaria,1,1,0,0,0,0,1
operacion_unaria,1,1,0,0,0,0,1
option,1,1,1,1,0,0,1
para,1,1,0,0,0,0,1
pasar,1,1,1,1,0,0,1
pattern,0,1,1,0,0,0,0
proyectar,1,1,0,0,0,0,1
retorno,1,1,1,1,0,0,1
romper,1,1,1,1,0,0,1
switch,1,1,1,1,0,0,1
throw,1,1,0,1,0,0,1
transformar,1,1,0,0,0,0,1
try_catch,1,1,0,1,0,0,1
usar,1,0,0,0,0,0,1
valor,1,1,0,0,0,0,1
with,1,1,1,1,0,0,0
yield,1,1,1,1,0,0,1
